Marita Zuraitis                  , HORACE MANN EDUCATORS CORP
Mark Parker                      , NIKE INC  -CL B
Mark Donegan                     , PRECISION CASTPARTS CORP
Mark Templeton                   , CITRIX SYSTEMS INC
Mark Millett                     , STEEL DYNAMICS INC
Mark Dankberg                    , VIASAT INC
Mark Mondello                    , JABIL CIRCUIT INC
Mark Kowlzan                     , PACKAGING CORP OF AMERICA
Mark Goldstein                   , ACTUANT CORP  -CL A
Mark Ruelle                      , WESTAR ENERGY INC
Mark DeYoung                     , ORBITAL ATK INC
Mark Gliebe                      , REGAL BELOIT CORP
Mark Thompson                    , FAIRCHILD SEMICONDUCTOR INTL
Mark Jagiela                     , TERADYNE INC
Mark Blinn                       , FLOWSERVE CORP
Mark Zalatoris CPA               , INLAND REAL ESTATE CORP
Mark Bertolini                   , AETNA INC
Mark Costa                       , EASTMAN CHEMICAL CO
Mark O'Neil                      , DEALERTRACK TECHNOLOGIES INC
Mark Brugger JD                  , DIAMONDROCK HOSPITALITY CO
Mark Aslett                      , MERCURY SYSTEMS INC
Mark Tryniski                    , COMMUNITY BANK SYSTEM INC
Mark Lucas                       , IMATION CORP
Mark Comerford                   , HAYNES INTERNATIONAL INC
Mark Sarvary                     , TEMPUR SEALY INTL INC
Mark Grescovich                  , BANNER CORP
Mark Thompson                    , NEW YORK TIMES CO  -CL A
Mark Breitbard                   , GYMBOREE CORP
Mark Trudeau                     , MALLINCKRODT PLC
Mark Zuckerberg                  , FACEBOOK INC
Mark DiBlasi                     , ROADRUNNER TRANS SVCS HLDGS
Mark Ordan                       , WP GLIMCHER INC
Mark Gibson                      , HFF INC
Mark Dunkerley                   , HAWAIIAN HOLDINGS INC
Mark DeYoung                     , VISTA OUTDOOR INC
Mark Vergnano                    , CHEMOURS CO THE
Martin Singer PhD                , PCTEL INC
Martin Richenhagen               , AGCO CORP
Martin Stein Jr                  , REGENCY CENTERS CORP
Martin Anstice                   , LAM RESEARCH CORP
Martin Flanagan CFA CPA          , INVESCO LTD
Martin Roper                     , BOSTON BEER INC  -CL A
Martin Craighead                 , BAKER HUGHES INC
Martin Barrington                , ALTRIA GROUP INC
Martin Dietrich                  , N B T BANCORP INC
Martine Rothblatt PhD MB         , UNITED THERAPEUTICS CORP
Marvin Chronister BA             , BONANZA CREEK ENERGY INC
Mary Junck                       , LEE ENTERPRISES INC
Mary Puma                        , AXCELIS TECHNOLOGIES INC
Mary Wilderotter                 , FRONTIER COMMUNICATIONS CORP
Mary Barra                       , GENERAL MOTORS CO
Mary Laschinger                  , VERITIV CORP
Maryjo Cohen                     , NATIONAL PRESTO INDS INC
Matthew Cox                      , MATSON INC
